,User,num_successful_attempts,num_unique_succ_imitators
0,User1,0,0
1,User2,0,0
2,User3,5,5
3,User4,0,0
4,User5,5,3
5,User6,0,0
6,User7,7,6
7,User8,0,0
8,User9,0,0
9,User10,0,0
10,User11,14,5
11,User12,10,5
12,User13,0,0
13,User14,3,3
14,User15,0,0
15,User16,6,5
16,User17,34,9
17,User18,0,0
18,User19,1,1
19,User20,0,0
20,User21,11,3
21,User22,5,1
22,User23,3,2
23,User24,0,0
24,User25,7,3
25,User26,41,6
26,User27,5,2
27,User28,1,1
28,User29,2,2
29,User30,51,8
30,User31,119,9
31,User32,25,9
32,User33,5,3
33,User34,71,9
34,User35,81,9
35,User36,74,8
36,User37,18,3
37,User38,63,9
38,User39,1,1
39,User40,114,9
40,User41,67,8
41,User42,45,8
42,User43,16,6
43,User44,1,1
44,User45,12,6
45,User46,19,5
46,User47,52,7
47,User48,4,2
48,User49,42,7
49,User50,15,4
50,User51,44,8
51,User52,77,9
52,User53,134,9
53,User54,69,8
54,User55,47,7
