,User,a+g+m+r,a
0,User1,0,26
1,User2,0,0
2,User3,5,0
3,User4,0,2
4,User5,5,25
5,User6,0,33
6,User7,7,8
7,User8,0,2
8,User9,0,2
9,User10,0,22
10,User11,14,3
11,User12,10,19
12,User13,0,2
13,User14,3,14
14,User15,0,5
15,User16,6,0
16,User17,34,28
17,User18,0,17
18,User19,1,0
19,User20,0,0
20,User21,11,0
21,User22,5,0
22,User23,3,0
23,User24,0,0
24,User25,7,0
25,User26,41,20
26,User27,5,2
27,User28,1,2
28,User29,2,0
29,User30,51,52
30,User31,119,18
31,User32,25,178
32,User33,5,16
33,User34,71,34
34,User35,81,93
35,User36,74,27
36,User37,18,11
37,User38,63,12
38,User39,1,5
39,User40,114,34
40,User41,67,11
41,User42,45,65
42,User43,16,33
43,User44,1,37
44,User45,12,20
45,User46,19,12
46,User47,52,17
47,User48,4,7
48,User49,42,15
49,User50,15,13
50,User51,44,38
51,User52,77,70
52,User53,134,39
53,User54,69,53
54,User55,47,26
