Id,g_Age(yr),g_Height(cm),g_Weight(lb),g_Waist(cm),g_Gender,g_Country
User1,26,161,165,93.98,Male,India
User2,31,168,150,91.44,Male,Uganda
User3,31,165,150,83.82,Male,Sri Lanka
User4,,,,,Male,India
User5,30,165,136,81.28,Male,India
User6,38,183,175,96.52,Male,Uganda
User7,29,172.72,164,83.82,Male,USA
User8,31,176,187,86.36,Male,India
User9,,,,76.2,Female,China
User10,24,167,150,76.2,Male,China
User11,28,178,203,91.44,Male,India
User12,25,173,170,81.28,Male,Nepal
User13,23,168,140,71.12,Male,China
User14,31,175,160,86.36,Male,china
User15,26,,,,Male,India
User16,30,167,142,76.2,Male,India
User17,,,,,Male,India
User18,,,,,Male,Nepal
User19,25,163,126,71.12,Female,India
User20,,,,,Female,India
User21,,,,,Male,China
User22,23,175,110,71.12,Male,India
User23,28,180,183,91.44,Male,India
User24,32,167,140,81.28,Male,India
User25,30,162,107,71.12,Female,India
User26,27,177,162,81.28,Male,india
User27,26,167,140,76.2,Male,USA
User28,30,180,190,86.36,Male,China
User29,34,177,160,81.28,Male,Uganda
User30,27,182,200,86.36,Male,Iran
User31,22,175,150,81.28,Male,USA
User32,30,187,242,101.6,Male,India
User33,19,182,135,71.12,Male,USA
User34,27,160,121,68.58,Female,China
User35,28,172,155,86.36,Male,USA
User36,20,172,190,86.36,Male,USa
User37,27,195,190,91.44,Male,Syria
User38,40,170,140,71.12,Female,USA
User39,21,180,160,78.74,Male,USA
User40,28,182,183,81.28,Male,Iran
User41,30,167.64,174,83.82,Male,India
User42,21,172,177,81.28,Male,China
User43,28,183,191,76.2,m ,China
User44,27,172,155,91.44,Male,Turkey
User45,21,175,165,76.2,Male,India
User46,18,160,148,68.58,Male,Tibet
User47,22,172,210,96.52,Male,USA
User48,30,172,178,86.36,Male,Haiti
User49,26,160,99,68.58,Female,China
User50,25,175,174,83.82,Male,China
User51,40,167,210,96.52,Female,USA
User52,32,175,183,86.36,Male,USA
User53,24,187,231,96.52,Male,Iran
User54,28,160,99,68.58,Female,Iran
User55,23,180,154,81.28,Male,China
